Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	40.864
18170	4.503e-002	-1.8462e-003	-1.1885	40.864
18171	4.503e-002	-2.7692e-003	-1.1885	40.864
18172	4.503e-002	-3.6923e-003	-1.1885	40.864
18173	4.503e-002	-4.6154e-003	-1.1885	40.864
18174	4.503e-002	-5.5385e-003	-1.1885	40.864
18175	4.503e-002	-6.4615e-003	-1.1885	40.864
18176	4.503e-002	-7.3846e-003	-1.1885	40.864
18177	4.503e-002	-8.3077e-003	-1.1885	40.864
18178	4.503e-002	-9.2308e-003	-1.1885	40.864
18179	4.503e-002	-1.0154e-002	-1.1885	40.864
18180	4.503e-002	-1.1077e-002	-1.1885	40.864
18181	4.5389e-002	-9.2308e-004	-1.1888	40.959
18182	4.5389e-002	-1.8462e-003	-1.1888	40.959
18183	4.5389e-002	-2.7692e-003	-1.1888	40.959
18184	4.5389e-002	-3.6923e-003	-1.1888	40.959
18185	4.5389e-002	-4.6154e-003	-1.1888	40.959
18186	4.5389e-002	-5.5385e-003	-1.1888	40.959
18187	4.5389e-002	-6.4615e-003	-1.1888	40.959
18188	4.5389e-002	-7.3846e-003	-1.1888	40.959
18189	4.5389e-002	-8.3077e-003	-1.1888	40.959
18190	4.5389e-002	-9.2308e-003	-1.1888	40.959
18191	4.5389e-002	-1.0154e-002	-1.1888	40.959
18192	4.5389e-002	-1.1077e-002	-1.1888	40.959
18193	4.5455e-002	-9.2308e-004	-1.171	68.067
18194	4.5455e-002	-1.8462e-003	-1.171	68.067
18195	4.5455e-002	-2.7692e-003	-1.171	68.067
18196	4.5455e-002	-3.6923e-003	-1.171	68.067
18197	4.5455e-002	-4.6154e-003	-1.171	68.067
18198	4.5455e-002	-5.5385e-003	-1.171	68.067
18199	4.5455e-002	-6.4615e-003	-1.171	68.067
18200	4.5455e-002	-7.3846e-003	-1.171	68.067
18201	4.5455e-002	-8.3077e-003	-1.171	68.067
18202	4.5455e-002	-9.2308e-003	-1.171	68.067
18203	4.5455e-002	-1.0154e-002	-1.171	68.067
18204	4.5455e-002	-1.1077e-002	-1.171	68.067
18205	4.5875e-002	-9.2308e-004	-1.1705	70.194
18206	4.5875e-002	-1.8462e-003	-1.1705	70.194
18207	4.5875e-002	-2.7692e-003	-1.1705	70.194
18208	4.5875e-002	-3.6923e-003	-1.1705	70.194
18209	4.5875e-002	-4.6154e-003	-1.1705	70.194
18210	4.5875e-002	-5.5385e-003	-1.1705	70.194
18211	4.5875e-002	-6.4615e-003	-1.1705	70.194
18212	4.5875e-002	-7.3846e-003	-1.1705	70.194
18213	4.5875e-002	-8.3077e-003	-1.1705	70.194
18214	4.5875e-002	-9.2308e-003	-1.1705	70.194
18215	4.5875e-002	-1.0154e-002	-1.1705	70.194
18216	4.5875e-002	-1.1077e-002	-1.1705	70.194
