Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	30.119
18170	4.503e-002	-1.8462e-003	-1.1885	30.119
18171	4.503e-002	-2.7692e-003	-1.1885	30.119
18172	4.503e-002	-3.6923e-003	-1.1885	30.119
18173	4.503e-002	-4.6154e-003	-1.1885	30.119
18174	4.503e-002	-5.5385e-003	-1.1885	30.119
18175	4.503e-002	-6.4615e-003	-1.1885	30.119
18176	4.503e-002	-7.3846e-003	-1.1885	30.119
18177	4.503e-002	-8.3077e-003	-1.1885	30.119
18178	4.503e-002	-9.2308e-003	-1.1885	30.119
18179	4.503e-002	-1.0154e-002	-1.1885	30.119
18180	4.503e-002	-1.1077e-002	-1.1885	30.119
18181	4.5389e-002	-9.2308e-004	-1.1888	30.087
18182	4.5389e-002	-1.8462e-003	-1.1888	30.087
18183	4.5389e-002	-2.7692e-003	-1.1888	30.087
18184	4.5389e-002	-3.6923e-003	-1.1888	30.087
18185	4.5389e-002	-4.6154e-003	-1.1888	30.087
18186	4.5389e-002	-5.5385e-003	-1.1888	30.087
18187	4.5389e-002	-6.4615e-003	-1.1888	30.087
18188	4.5389e-002	-7.3846e-003	-1.1888	30.087
18189	4.5389e-002	-8.3077e-003	-1.1888	30.087
18190	4.5389e-002	-9.2308e-003	-1.1888	30.087
18191	4.5389e-002	-1.0154e-002	-1.1888	30.087
18192	4.5389e-002	-1.1077e-002	-1.1888	30.087
18193	4.5455e-002	-9.2308e-004	-1.171	59.464
18194	4.5455e-002	-1.8462e-003	-1.171	59.464
18195	4.5455e-002	-2.7692e-003	-1.171	59.464
18196	4.5455e-002	-3.6923e-003	-1.171	59.464
18197	4.5455e-002	-4.6154e-003	-1.171	59.464
18198	4.5455e-002	-5.5385e-003	-1.171	59.464
18199	4.5455e-002	-6.4615e-003	-1.171	59.464
18200	4.5455e-002	-7.3846e-003	-1.171	59.464
18201	4.5455e-002	-8.3077e-003	-1.171	59.464
18202	4.5455e-002	-9.2308e-003	-1.171	59.464
18203	4.5455e-002	-1.0154e-002	-1.171	59.464
18204	4.5455e-002	-1.1077e-002	-1.171	59.464
18205	4.5875e-002	-9.2308e-004	-1.1705	61.846
18206	4.5875e-002	-1.8462e-003	-1.1705	61.846
18207	4.5875e-002	-2.7692e-003	-1.1705	61.846
18208	4.5875e-002	-3.6923e-003	-1.1705	61.846
18209	4.5875e-002	-4.6154e-003	-1.1705	61.846
18210	4.5875e-002	-5.5385e-003	-1.1705	61.846
18211	4.5875e-002	-6.4615e-003	-1.1705	61.846
18212	4.5875e-002	-7.3846e-003	-1.1705	61.846
18213	4.5875e-002	-8.3077e-003	-1.1705	61.846
18214	4.5875e-002	-9.2308e-003	-1.1705	61.846
18215	4.5875e-002	-1.0154e-002	-1.1705	61.846
18216	4.5875e-002	-1.1077e-002	-1.1705	61.846
18217	4.129e-002	-9.2308e-004	-1.1684	68.793
18218	4.129e-002	-1.8462e-003	-1.1684	68.793
18219	4.129e-002	-2.7692e-003	-1.1684	68.793
18220	4.129e-002	-3.6923e-003	-1.1684	68.793
18221	4.129e-002	-4.6154e-003	-1.1684	68.793
18222	4.129e-002	-5.5385e-003	-1.1684	68.793
18223	4.129e-002	-6.4615e-003	-1.1684	68.793
18224	4.129e-002	-7.3846e-003	-1.1684	68.793
18225	4.129e-002	-8.3077e-003	-1.1684	68.793
18226	4.129e-002	-9.2308e-003	-1.1684	68.793
18227	4.129e-002	-1.0154e-002	-1.1684	68.793
18228	4.129e-002	-1.1077e-002	-1.1684	68.793
18229	4.2026e-002	-9.2308e-004	-1.1686	68.382
18230	4.2026e-002	-1.8462e-003	-1.1686	68.382
18231	4.2026e-002	-2.7692e-003	-1.1686	68.382
18232	4.2026e-002	-3.6923e-003	-1.1686	68.382
18233	4.2026e-002	-4.6154e-003	-1.1686	68.382
18234	4.2026e-002	-5.5385e-003	-1.1686	68.382
18235	4.2026e-002	-6.4615e-003	-1.1686	68.382
18236	4.2026e-002	-7.3846e-003	-1.1686	68.382
18237	4.2026e-002	-8.3077e-003	-1.1686	68.382
18238	4.2026e-002	-9.2308e-003	-1.1686	68.382
18239	4.2026e-002	-1.0154e-002	-1.1686	68.382
18240	4.2026e-002	-1.1077e-002	-1.1686	68.382
18241	4.303e-002	-9.2308e-004	-1.1689	67.464
18242	4.303e-002	-1.8462e-003	-1.1689	67.464
18243	4.303e-002	-2.7692e-003	-1.1689	67.464
18244	4.303e-002	-3.6923e-003	-1.1689	67.464
18245	4.303e-002	-4.6154e-003	-1.1689	67.464
18246	4.303e-002	-5.5385e-003	-1.1689	67.464
18247	4.303e-002	-6.4615e-003	-1.1689	67.464
18248	4.303e-002	-7.3846e-003	-1.1689	67.464
18249	4.303e-002	-8.3077e-003	-1.1689	67.464
18250	4.303e-002	-9.2308e-003	-1.1689	67.464
18251	4.303e-002	-1.0154e-002	-1.1689	67.464
18252	4.303e-002	-1.1077e-002	-1.1689	67.464
18253	4.523e-002	-9.2308e-004	-1.1689	68.802
18254	4.523e-002	-1.8462e-003	-1.1689	68.802
18255	4.523e-002	-2.7692e-003	-1.1689	68.802
18256	4.523e-002	-3.6923e-003	-1.1689	68.802
18257	4.523e-002	-4.6154e-003	-1.1689	68.802
18258	4.523e-002	-5.5385e-003	-1.1689	68.802
18259	4.523e-002	-6.4615e-003	-1.1689	68.802
18260	4.523e-002	-7.3846e-003	-1.1689	68.802
18261	4.523e-002	-8.3077e-003	-1.1689	68.802
18262	4.523e-002	-9.2308e-003	-1.1689	68.802
18263	4.523e-002	-1.0154e-002	-1.1689	68.802
18264	4.523e-002	-1.1077e-002	-1.1689	68.802
18265	4.5649e-002	-9.2308e-004	-1.1698	65.039
18266	4.5649e-002	-1.8462e-003	-1.1698	65.039
18267	4.5649e-002	-2.7692e-003	-1.1698	65.039
18268	4.5649e-002	-3.6923e-003	-1.1698	65.039
18269	4.5649e-002	-4.6154e-003	-1.1698	65.039
18270	4.5649e-002	-5.5385e-003	-1.1698	65.039
18271	4.5649e-002	-6.4615e-003	-1.1698	65.039
18272	4.5649e-002	-7.3846e-003	-1.1698	65.039
18273	4.5649e-002	-8.3077e-003	-1.1698	65.039
18274	4.5649e-002	-9.2308e-003	-1.1698	65.039
18275	4.5649e-002	-1.0154e-002	-1.1698	65.039
18276	4.5649e-002	-1.1077e-002	-1.1698	65.039
18277	4.4137e-002	-9.2308e-004	-1.1693	66.366
18278	4.4137e-002	-1.8462e-003	-1.1693	66.366
18279	4.4137e-002	-2.7692e-003	-1.1693	66.366
18280	4.4137e-002	-3.6923e-003	-1.1693	66.366
18281	4.4137e-002	-4.6154e-003	-1.1693	66.366
18282	4.4137e-002	-5.5385e-003	-1.1693	66.366
18283	4.4137e-002	-6.4615e-003	-1.1693	66.366
18284	4.4137e-002	-7.3846e-003	-1.1693	66.366
18285	4.4137e-002	-8.3077e-003	-1.1693	66.366
18286	4.4137e-002	-9.2308e-003	-1.1693	66.366
18287	4.4137e-002	-1.0154e-002	-1.1693	66.366
18288	4.4137e-002	-1.1077e-002	-1.1693	66.366
