Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	38.831
18170	4.503e-002	-1.8462e-003	-1.1885	38.831
18171	4.503e-002	-2.7692e-003	-1.1885	38.831
18172	4.503e-002	-3.6923e-003	-1.1885	38.831
18173	4.503e-002	-4.6154e-003	-1.1885	38.831
18174	4.503e-002	-5.5385e-003	-1.1885	38.831
18175	4.503e-002	-6.4615e-003	-1.1885	38.831
18176	4.503e-002	-7.3846e-003	-1.1885	38.831
18177	4.503e-002	-8.3077e-003	-1.1885	38.831
18178	4.503e-002	-9.2308e-003	-1.1885	38.831
18179	4.503e-002	-1.0154e-002	-1.1885	38.831
18180	4.503e-002	-1.1077e-002	-1.1885	38.831
18181	4.5389e-002	-9.2308e-004	-1.1888	38.886
18182	4.5389e-002	-1.8462e-003	-1.1888	38.886
18183	4.5389e-002	-2.7692e-003	-1.1888	38.886
18184	4.5389e-002	-3.6923e-003	-1.1888	38.886
18185	4.5389e-002	-4.6154e-003	-1.1888	38.886
18186	4.5389e-002	-5.5385e-003	-1.1888	38.886
18187	4.5389e-002	-6.4615e-003	-1.1888	38.886
18188	4.5389e-002	-7.3846e-003	-1.1888	38.886
18189	4.5389e-002	-8.3077e-003	-1.1888	38.886
18190	4.5389e-002	-9.2308e-003	-1.1888	38.886
18191	4.5389e-002	-1.0154e-002	-1.1888	38.886
18192	4.5389e-002	-1.1077e-002	-1.1888	38.886
18193	4.5455e-002	-9.2308e-004	-1.171	67.313
18194	4.5455e-002	-1.8462e-003	-1.171	67.313
18195	4.5455e-002	-2.7692e-003	-1.171	67.313
18196	4.5455e-002	-3.6923e-003	-1.171	67.313
18197	4.5455e-002	-4.6154e-003	-1.171	67.313
18198	4.5455e-002	-5.5385e-003	-1.171	67.313
18199	4.5455e-002	-6.4615e-003	-1.171	67.313
18200	4.5455e-002	-7.3846e-003	-1.171	67.313
18201	4.5455e-002	-8.3077e-003	-1.171	67.313
18202	4.5455e-002	-9.2308e-003	-1.171	67.313
18203	4.5455e-002	-1.0154e-002	-1.171	67.313
18204	4.5455e-002	-1.1077e-002	-1.171	67.313
18205	4.5875e-002	-9.2308e-004	-1.1705	69.472
18206	4.5875e-002	-1.8462e-003	-1.1705	69.472
18207	4.5875e-002	-2.7692e-003	-1.1705	69.472
18208	4.5875e-002	-3.6923e-003	-1.1705	69.472
18209	4.5875e-002	-4.6154e-003	-1.1705	69.472
18210	4.5875e-002	-5.5385e-003	-1.1705	69.472
18211	4.5875e-002	-6.4615e-003	-1.1705	69.472
18212	4.5875e-002	-7.3846e-003	-1.1705	69.472
18213	4.5875e-002	-8.3077e-003	-1.1705	69.472
18214	4.5875e-002	-9.2308e-003	-1.1705	69.472
18215	4.5875e-002	-1.0154e-002	-1.1705	69.472
18216	4.5875e-002	-1.1077e-002	-1.1705	69.472
18217	4.129e-002	-9.2308e-004	-1.1684	74.72
18218	4.129e-002	-1.8462e-003	-1.1684	74.72
18219	4.129e-002	-2.7692e-003	-1.1684	74.72
18220	4.129e-002	-3.6923e-003	-1.1684	74.72
18221	4.129e-002	-4.6154e-003	-1.1684	74.72
18222	4.129e-002	-5.5385e-003	-1.1684	74.72
18223	4.129e-002	-6.4615e-003	-1.1684	74.72
18224	4.129e-002	-7.3846e-003	-1.1684	74.72
18225	4.129e-002	-8.3077e-003	-1.1684	74.72
18226	4.129e-002	-9.2308e-003	-1.1684	74.72
18227	4.129e-002	-1.0154e-002	-1.1684	74.72
18228	4.129e-002	-1.1077e-002	-1.1684	74.72
18229	4.2026e-002	-9.2308e-004	-1.1686	74.45
18230	4.2026e-002	-1.8462e-003	-1.1686	74.45
18231	4.2026e-002	-2.7692e-003	-1.1686	74.45
18232	4.2026e-002	-3.6923e-003	-1.1686	74.45
18233	4.2026e-002	-4.6154e-003	-1.1686	74.45
18234	4.2026e-002	-5.5385e-003	-1.1686	74.45
18235	4.2026e-002	-6.4615e-003	-1.1686	74.45
18236	4.2026e-002	-7.3846e-003	-1.1686	74.45
18237	4.2026e-002	-8.3077e-003	-1.1686	74.45
18238	4.2026e-002	-9.2308e-003	-1.1686	74.45
18239	4.2026e-002	-1.0154e-002	-1.1686	74.45
18240	4.2026e-002	-1.1077e-002	-1.1686	74.45
18241	4.303e-002	-9.2308e-004	-1.1689	73.799
18242	4.303e-002	-1.8462e-003	-1.1689	73.799
18243	4.303e-002	-2.7692e-003	-1.1689	73.799
18244	4.303e-002	-3.6923e-003	-1.1689	73.799
18245	4.303e-002	-4.6154e-003	-1.1689	73.799
18246	4.303e-002	-5.5385e-003	-1.1689	73.799
18247	4.303e-002	-6.4615e-003	-1.1689	73.799
18248	4.303e-002	-7.3846e-003	-1.1689	73.799
18249	4.303e-002	-8.3077e-003	-1.1689	73.799
18250	4.303e-002	-9.2308e-003	-1.1689	73.799
18251	4.303e-002	-1.0154e-002	-1.1689	73.799
18252	4.303e-002	-1.1077e-002	-1.1689	73.799
18253	4.523e-002	-9.2308e-004	-1.1689	75.253
18254	4.523e-002	-1.8462e-003	-1.1689	75.253
18255	4.523e-002	-2.7692e-003	-1.1689	75.253
18256	4.523e-002	-3.6923e-003	-1.1689	75.253
18257	4.523e-002	-4.6154e-003	-1.1689	75.253
18258	4.523e-002	-5.5385e-003	-1.1689	75.253
18259	4.523e-002	-6.4615e-003	-1.1689	75.253
18260	4.523e-002	-7.3846e-003	-1.1689	75.253
18261	4.523e-002	-8.3077e-003	-1.1689	75.253
18262	4.523e-002	-9.2308e-003	-1.1689	75.253
18263	4.523e-002	-1.0154e-002	-1.1689	75.253
18264	4.523e-002	-1.1077e-002	-1.1689	75.253
18265	4.5649e-002	-9.2308e-004	-1.1698	72.16
18266	4.5649e-002	-1.8462e-003	-1.1698	72.16
18267	4.5649e-002	-2.7692e-003	-1.1698	72.16
18268	4.5649e-002	-3.6923e-003	-1.1698	72.16
18269	4.5649e-002	-4.6154e-003	-1.1698	72.16
18270	4.5649e-002	-5.5385e-003	-1.1698	72.16
18271	4.5649e-002	-6.4615e-003	-1.1698	72.16
18272	4.5649e-002	-7.3846e-003	-1.1698	72.16
18273	4.5649e-002	-8.3077e-003	-1.1698	72.16
18274	4.5649e-002	-9.2308e-003	-1.1698	72.16
18275	4.5649e-002	-1.0154e-002	-1.1698	72.16
18276	4.5649e-002	-1.1077e-002	-1.1698	72.16
18277	4.4137e-002	-9.2308e-004	-1.1693	73.033
18278	4.4137e-002	-1.8462e-003	-1.1693	73.033
18279	4.4137e-002	-2.7692e-003	-1.1693	73.033
18280	4.4137e-002	-3.6923e-003	-1.1693	73.033
18281	4.4137e-002	-4.6154e-003	-1.1693	73.033
18282	4.4137e-002	-5.5385e-003	-1.1693	73.033
