Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	40.961
18170	4.503e-002	-1.8462e-003	-1.1885	40.961
18171	4.503e-002	-2.7692e-003	-1.1885	40.961
18172	4.503e-002	-3.6923e-003	-1.1885	40.961
18173	4.503e-002	-4.6154e-003	-1.1885	40.961
18174	4.503e-002	-5.5385e-003	-1.1885	40.961
18175	4.503e-002	-6.4615e-003	-1.1885	40.961
18176	4.503e-002	-7.3846e-003	-1.1885	40.961
18177	4.503e-002	-8.3077e-003	-1.1885	40.961
18178	4.503e-002	-9.2308e-003	-1.1885	40.961
18179	4.503e-002	-1.0154e-002	-1.1885	40.961
18180	4.503e-002	-1.1077e-002	-1.1885	40.961
18181	4.5389e-002	-9.2308e-004	-1.1888	41.057
18182	4.5389e-002	-1.8462e-003	-1.1888	41.057
18183	4.5389e-002	-2.7692e-003	-1.1888	41.057
18184	4.5389e-002	-3.6923e-003	-1.1888	41.057
18185	4.5389e-002	-4.6154e-003	-1.1888	41.057
18186	4.5389e-002	-5.5385e-003	-1.1888	41.057
18187	4.5389e-002	-6.4615e-003	-1.1888	41.057
18188	4.5389e-002	-7.3846e-003	-1.1888	41.057
18189	4.5389e-002	-8.3077e-003	-1.1888	41.057
18190	4.5389e-002	-9.2308e-003	-1.1888	41.057
18191	4.5389e-002	-1.0154e-002	-1.1888	41.057
18192	4.5389e-002	-1.1077e-002	-1.1888	41.057
18193	4.5455e-002	-9.2308e-004	-1.171	68.103
18194	4.5455e-002	-1.8462e-003	-1.171	68.103
18195	4.5455e-002	-2.7692e-003	-1.171	68.103
18196	4.5455e-002	-3.6923e-003	-1.171	68.103
18197	4.5455e-002	-4.6154e-003	-1.171	68.103
18198	4.5455e-002	-5.5385e-003	-1.171	68.103
18199	4.5455e-002	-6.4615e-003	-1.171	68.103
18200	4.5455e-002	-7.3846e-003	-1.171	68.103
18201	4.5455e-002	-8.3077e-003	-1.171	68.103
18202	4.5455e-002	-9.2308e-003	-1.171	68.103
18203	4.5455e-002	-1.0154e-002	-1.171	68.103
18204	4.5455e-002	-1.1077e-002	-1.171	68.103
18205	4.5875e-002	-9.2308e-004	-1.1705	70.228
18206	4.5875e-002	-1.8462e-003	-1.1705	70.228
18207	4.5875e-002	-2.7692e-003	-1.1705	70.228
18208	4.5875e-002	-3.6923e-003	-1.1705	70.228
18209	4.5875e-002	-4.6154e-003	-1.1705	70.228
18210	4.5875e-002	-5.5385e-003	-1.1705	70.228
18211	4.5875e-002	-6.4615e-003	-1.1705	70.228
18212	4.5875e-002	-7.3846e-003	-1.1705	70.228
18213	4.5875e-002	-8.3077e-003	-1.1705	70.228
18214	4.5875e-002	-9.2308e-003	-1.1705	70.228
18215	4.5875e-002	-1.0154e-002	-1.1705	70.228
18216	4.5875e-002	-1.1077e-002	-1.1705	70.228
18217	4.129e-002	-9.2308e-004	-1.1684	75.25
18218	4.129e-002	-1.8462e-003	-1.1684	75.25
18219	4.129e-002	-2.7692e-003	-1.1684	75.25
18220	4.129e-002	-3.6923e-003	-1.1684	75.25
18221	4.129e-002	-4.6154e-003	-1.1684	75.25
18222	4.129e-002	-5.5385e-003	-1.1684	75.25
18223	4.129e-002	-6.4615e-003	-1.1684	75.25
18224	4.129e-002	-7.3846e-003	-1.1684	75.25
18225	4.129e-002	-8.3077e-003	-1.1684	75.25
18226	4.129e-002	-9.2308e-003	-1.1684	75.25
18227	4.129e-002	-1.0154e-002	-1.1684	75.25
18228	4.129e-002	-1.1077e-002	-1.1684	75.25
18229	4.2026e-002	-9.2308e-004	-1.1686	75.
