Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	34.102
18170	4.503e-002	-1.8462e-003	-1.1885	34.102
18171	4.503e-002	-2.7692e-003	-1.1885	34.102
18172	4.503e-002	-3.6923e-003	-1.1885	34.102
18173	4.503e-002	-4.6154e-003	-1.1885	34.102
18174	4.503e-002	-5.5385e-003	-1.1885	34.102
18175	4.503e-002	-6.4615e-003	-1.1885	34.102
18176	4.503e-002	-7.3846e-003	-1.1885	34.102
18177	4.503e-002	-8.3077e-003	-1.1885	34.102
18178	4.503e-002	-9.2308e-003	-1.1885	34.102
18179	4.503e-002	-1.0154e-002	-1.1885	34.102
18180	4.503e-002	-1.1077e-002	-1.1885	34.102
18181	4.5389e-002	-9.2308e-004	-1.1888	34.075
18182	4.5389e-002	-1.8462e-003	-1.1888	34.075
18183	4.5389e-002	-2.7692e-003	-1.1888	34.075
18184	4.5389e-002	-3.6923e-003	-1.1888	34.075
18185	4.5389e-002	-4.6154e-003	-1.1888	34.075
18186	4.5389e-002	-5.5385e-003	-1.1888	34.075
18187	4.5389e-002	-6.4615e-003	-1.1888	34.075
18188	4.5389e-002	-7.3846e-003	-1.1888	34.075
18189	4.5389e-002	-8.3077e-003	-1.1888	34.075
18190	4.5389e-002	-9.2308e-003	-1.1888	34.075
18191	4.5389e-002	-1.0154e-002	-1.1888	34.075
18192	4.5389e-002	-1.1077e-002	-1.1888	34.075
18193	4.5455e-002	-9.2308e-004	-1.171	64.991
18194	4.5455e-002	-1.8462e-003	-1.171	64.991
18195	4.5455e-002	-2.7692e-003	-1.171	64.991
18196	4.5455e-002	-3.6923e-003	-1.171	64.991
18197	4.5455e-002	-4.6154e-003	-1.171	64.991
18198	4.5455e-002	-5.5385e-003	-1.171	64.991
18199	4.5455e-002	-6.4615e-003	-1.171	64.991
18200	4.5455e-002	-7.3846e-003	-1.171	64.991
18201	4.5455e-002	-8.3077e-003	-1.171	64.991
18202	4.5455e-002	-9.2308e-003	-1.171	64.991
18203	4.5455e-002	-1.0154e-002	-1.171	64.991
18204	4.5455e-002	-1.1077e-002	-1.171	64.991
18205	4.5875e-002	-9.2308e-004	-1.1705	67.237
18206	4.5875e-002	-1.8462e-003	-1.1705	67.237
18207	4.5875e-002	-2.7692e-003	-1.1705	67.237
18208	4.5875e-002	-3.6923e-003	-1.1705	67.237
18209	4.5875e-002	-4.6154e-003	-1.1705	67.237
18210	4.5875e-002	-5.5385e-003	-1.1705	67.237
18211	4.5875e-002	-6.4615e-003	-1.1705	67.237
18212	4.5875e-002	-7.3846e-003	-1.1705	67.237
18213	4.5875e-002	-8.3077e-003	-1.1705	67.237
18214	4.5875e-002	-9.2308e-003	-1.1705	67.237
18215	4.5875e-002	-1.0154e-002	-1.1705	67.237
18216	4.5875e-002	-1.1077e-002	-1.1705	67.237
18217	4.129e-002	-9.2308e-004	-1.1684	73.086
18218	4.129e-002	-1.8462e-003	-1.1684	73.086
18219	4.129e-002	-2.7692e-003	-1.1684	73.086
18220	4.129e-002	-3.6923e-003	-1.1684	73.086
18221	4.129e-002	-4.6154e-003	-1.1684	73.086
18222	4.129e-002	-5.5385e-003	-1.1684	73.086
18223	4.129e-002	-6.4615e-003	-1.1684	73.086
18224	4.129e-002	-7.3846e-003	-1.1684	73.086
18225	4.129e-002	-8.3077e-003	-1.1684	73.086
18226	4.129e-002	-9.2308e-003	-1.1684	73.086
18227	4.129e-002	-1.0154e-002	-1.1684	73.086
18228	4.129e-002	-1.1077e-002	-1.1684	73.086
18229	4.2026e-002	-9.2308e-004	-1.1686	72.766
18230	4.2026e-002	-1.8462e-003	-1.1686	72.766
18231	4.2026e-002	-2.7692e-003	-1.1686	72.766
18232	4.2026e-002	-3.6923e-003	-1.1686	72.766
18233	4.2026e-002	-4.6154e-003	-1.1686	72.766
18234	4.2026e-002	-5.5385e-003	-1.1686	72.766
18235	4.2026e-002	-6.4615e-003	-1.1686	72.766
18236	4.2026e-002	-7.3846e-003	-1.1686	72.766
18237	4.2026e-002	-8.3077e-003	-1.1686	72.766
18238	4.2026e-002	-9.2308e-003	-1.1686	72.766
18239	4.2026e-002	-1.0154e-002	-1.1686	72.766
18240	4.2026e-002	-1.1077e-002	-1.1686	72.766
18241	4.303e-002	-9.2308e-004	-1.1689	72.022
18242	4.303e-002	-1.8462e-003	-1.1689	72.022
18243	4.303e-002	-2.7692e-003	-1.1689	72.022
18244	4.303e-002	-3.6923e-003	-1.1689	72.022
18245	4.303e-002	-4.6154e-003	-1.1689	72.022
18246	4.303e-002	-5.5385e-003	-1.1689	72.022
