Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	40.691
18170	4.503e-002	-1.8462e-003	-1.1885	40.691
18171	4.503e-002	-2.7692e-003	-1.1885	40.691
18172	4.503e-002	-3.6923e-003	-1.1885	40.691
18173	4.503e-002	-4.6154e-003	-1.1885	40.691
18174	4.503e-002	-5.5385e-003	-1.1885	40.691
18175	4.503e-002	-6.4615e-003	-1.1885	40.691
18176	4.503e-002	-7.3846e-003	-1.1885	40.691
18177	4.503e-002	-8.3077e-003	-1.1885	40.691
18178	4.503e-002	-9.2308e-003	-1.1885	40.691
18179	4.503e-002	-1.0154e-002	-1.1885	40.691
18180	4.503e-002	-1.1077e-002	-1.1885	40.691
18181	4.5389e-002	-9.2308e-004	-1.1888	40.782
18182	4.5389e-002	-1.8462e-003	-1.1888	40.782
18183	4.5389e-002	-2.7692e-003	-1.1888	40.782
18184	4.5389e-002	-3.6923e-003	-1.1888	40.782
18185	4.5389e-002	-4.6154e-003	-1.1888	40.782
18186	4.5389e-002	-5.5385e-003	-1.1888	40.782
18187	4.5389e-002	-6.4615e-003	-1.1888	40.782
18188	4.5389e-002	-7.3846e-003	-1.1888	40.782
18189	4.5389e-002	-8.3077e-003	-1.1888	40.782
18190	4.5389e-002	-9.2308e-003	-1.1888	40.782
18191	4.5389e-002	-1.0154e-002	-1.1888	40.782
18192	4.5389e-002	-1.1077e-002	-1.1888	40.782
18193	4.5455e-002	-9.2308e-004	-1.171	68.004
18194	4.5455e-002	-1.8462e-003	-1.171	68.004
18195	4.5455e-002	-2.7692e-003	-1.171	68.004
18196	4.5455e-002	-3.6923e-003	-1.171	68.004
18197	4.5455e-002	-4.6154e-003	-1.171	68.004
18198	4.5455e-002	-5.5385e-003	-1.171	68.004
18199	4.5455e-002	-6.4615e-003	-1.171	68.004
18200	4.5455e-002	-7.3846e-003	-1.171	68.004
18201	4.5455e-002	-8.3077e-003	-1.171	68.004
18202	4.5455e-002	-9.2308e-003	-1.171	68.004
18203	4.5455e-002	-1.0154e-002	-1.171	68.004
18204	4.5455e-002	-1.1077e-002	-1.171	68.004
18205	4.5875e-002	-9.2308e-004	-1.1705	70.133
18206	4.5875e-002	-1.8462e-003	-1.1705	70.133
18207	4.5875e-002	-2.7692e-003	-1.1705	70.133
18208	4.5875e-002	-3.6923e-003	-1.1705	70.133
18209	4.5875e-002	-4.6154e-003	-1.1705	70.133
18210	4.5875e-002	-5.5385e-003	-1.1705	70.133
18211	4.5875e-002	-6.4615e-003	-1.1705	70.133
18212	4.5875e-002	-7.3846e-003	-1.1705	70.133
18213	4.5875e-002	-8.3077e-003	-1.1705	70.133
18214	4.5875e-002	-9.2308e-003	-1.1705	70.133
18215	4.5875e-002	-1.0154e-002	-1.1705	70.133
18216	4.5875e-002	-1.1077e-002	-1.1705	70.133
18217	4.129e-002	-9.2308e-004	-1.1684	75.184
18218	4.129e-002	-1.8462e-003	-1.1684	75.184
18219	4.129e-002	-2.7692e-003	-1.1684	75.184
18220	4.129e-002	-3.6923e-003	-1.1684	75.184
18221	4.129e-002	-4.6154e-003	-1.1684	75.184
18222	4.129e-002	-5.5385e-003	-1.1684	75.184
18223	4.129e-002	-6.4615e-003	-1.1684	75.184
18224	4.129e-002	-7.3846e-003	-1.1684	75.184
18225	4.129e-002	-8.3077e-003	-1.1684	75.184
18226	4.129e-002	-9.2308e-003	-1.1684	75.184
18227	4.129e-002	-1.0154e-002	-1.1684	75.184
18228	4.129e-002	-1.1077e-002	-1.1684	75.184
18229	4.2026e-002	-9.2308e-004	-1.1686	74.931
18230	4.2026e-002	-1.8462e-003	-1.1686	74.931
18231	4.2026e-002	-2.7692e-003	-1.1686	74.931
18232	4.2026e-002	-3.6923e-003	-1.1686	74.931
18233	4.2026e-002	-4.6154e-003	-1.1686	74.931
18234	4.2026e-002	-5.5385e-003	-1.1686	74.931
18235	4.2026e-002	-6.4615e-003	-1.1686	74.931
18236	4.2026e-002	-7.3846e-003	-1.1686	74.931
18237	4.2026e-002	-8.3077e-003	-1.1686	74.931
18238	4.2026e-002	-9.2308e-003	-1.1686	74.931
18239	4.2026e-002	-1.0154e-002	-1.1686	74.931
18240	4.2026e-002	-1.1077e-002	-1.1686	74.931
18241	4.303e-002	-9.2308e-004	-1.1689	74.31
18242	4.303e-002	-1.8462e-003	-1.1689	74.31
18243	4.303e-002	-2.7692e-003	-1.1689	74.31
18244	4.303e-002	-3.6923e-003	-1.1689	74.31
18245	4.303e-002	-4.6154e-003	-1.1689	74.31
18246	4.303e-002	-5.5385e-003	-1.1689	74.31
18247	4.303e-002	-6.4615e-003	-1.1689	74.31
18248	4.303e-002	-7.3846e-003	-1.1689	74.31
18249	4.303e-002	-8.3077e-003	-1.1689	74.31
18250	4.303e-002	-9.2308e-003	-1.1689	74.31
18251	4.303e-002	-1.0154e-002	-1.1689	74.31
18252	4.303e-002	-1.1077e-002	-1.1689	74.31
18253	4.523e-002	-9.2308e-004	-1.1689	75.783
18254	4.523e-002	-1.8462e-003	-1.1689	75.783
18255	4.523e-002	-2.7692e-003	-1.1689	75.783
18256	4.523e-002	-3.6923e-003	-1.1689	75.783
18257	4.523e-002	-4.6154e-003	-1.1689	75.783
18258	4.523e-002	-5.5385e-003	-1.1689	75.783
18259	4.523e-002	-6.4615e-003	-1.1689	75.783
18260	4.523e-002	-7.3846e-003	-1.1689	75.783
18261	4.523e-002	-8.3077e-003	-1.1689	75.783
18262	4.523e-002	-9.2308e-003	-1.1689	75.783
18263	4.523e-002	-1.0154e-002	-1.1689	75.783
18264	4.523e-002	-1.1077e-002	-1.1689	75.783
18265	4.5649e-002	-9.2308e-004	-1.1698	72.761
18266	4.5649e-002	-1.8462e-003	-1.1698	72.761
18267	4.5649e-002	-2.7692e-003	-1.1698	72.761
18268	4.5649e-002	-3.6923e-003	-1.1698	72.761
18269	4.5649e-002	-4.6154e-003	-1.1698	72.761
18270	4.5649e-002	-5.5385e-003	-1.1698	72.761
18271	4.5649e-002	-6.4615e-003	-1.1698	72.761
18272	4.5649e-002	-7.3846e-003	-1.1698	72.761
18273	4.5649e-002	-8.3077e-003	-1.1698	72.761
18274	4.5649e-002	-9.2308e-003	-1.1698	72.761
18275	4.5649e-002	-1.0154e-002	-1.1698	72.761
18276	4.5649e-002	-1.1077e-002	-1.1698	72.761
18277	4.4137e-002	-9.2308e-004	-1.1693	73.582
18278	4.4137e-002	-1.8462e-003	-1.1693	73.582
18279	4.4137e-002	-2.7692e-003	-1.1693	73.582
18280	4.4137e-002	-3.6923e-003	-1.1693	73.582
18281	4.4137e-002	-4.6154e-003	-1.1693	73.582
18282	4.4137e-002	-5.5385e-003	-1.1693	73.582
18283	4.4137e-002	-6.4615e-003	-1.1693	73.582
18284	4.4137e-002	-7.3846e-003	-1.1693	73.582
18285	4.4137e-002	-8.3077e-003	-1.1693	73.582
18286	4.4137e-002	-9.2308e-003	-1.1693	73.582
18287	4.4137e-002	-1.0154e-002	-1.1693	73.582
18288	4.4137e-002	-1.1077e-002	-1.1693	73.582
18289	2.9014e-002	-9.2308e-004	-1.1692	74.596
18290	2.9014e-002	-1.8462e-003	-1.1692	74.596
18291	2.9014e-002	-2.7692e-003	-1.1692	74.596
18292	2.9014e-002	-3.6923e-003	-1.1692	74.596
18293	2.9014e-002	-4.6154e-003	-1.1692	74.596
18294	2.9014e-002	-5.5385e-003	-1.1692	74.596
18295	2.9014e-002	-6.4615e-003	-1.1692	74.596
18296	2.9014e-002	-7.3846e-003	-1.1692	74.596
18297	2.9014e-002	-8.3077e-003	-1.1692	74.596
18298	2.9014e-002	-9.2308e-003	-1.1692	74.596
18299	2.9014e-002	-1.0154e-002	-1.1692	74.596
18300	2.9014e-002	-1.1077e-002	-1.1692	74.596
18301	4.6212e-002	-9.2308e-004	-1.1885	41.154
18302	4.6212e-002	-1.8462e-003	-1.1885	41.154
18303	4.6212e-002	-2.7692e-003	-1.1885	41.154
18304	4.6212e-002	-3.6923e-003	-1.1885	41.154
18305	4.6212e-002	-4.6154e-003	-1.1885	41.154
18306	4.6212e-002	-5.5385e-003	-1.1885	41.154
18307	4.6212e-002	-6.4615e-003	-1.1885	41.154
18308	4.6212e-002	-7.3846e-003	-1.1885	41.154
18309	4.6212e-002	-8.3077e-003	-1.1885	41.154
18310	4.6212e-002	-9.2308e-003	-1.1885	41.154
18311	4.6212e-002	-1.0154e-002	-1.1885	41.154
18312	4.6212e-002	-1.1077e-002	-1.1885	41.154
18313	4.4821e-002	-9.2308e-004	-1.1702	70.468
18314	4.4821e-002	-1.8462e-003	-1.1702	70.468
18315	4.4821e-002	-2.7692e-003	-1.1702	70.468
18316	4.4821e-002	-3.6923e-003	-1.1702	70.468
18317	4.4821e-002	-4.6154e-003	-1.1702	70.468
18318	4.4821e-002	-5.5385e-003	-1.1702	70.468
18319	4.4821e-002	-6.4615e-003	-1.1702	70.468
18320	4.4821e-002	-7.3846e-003	-1.1702	70.468
18321	4.4821e-002	-8.3077e-003	-1.1702	70.468
18322	4.4821e-002	-9.2308e-003	-1.1702	70.468
18323	4.4821e-002	-1.0154e-002	-1.1702	70.468
18324	4.4821e-002	-1.1077e-002	-1.1702	70.468
18325	2.8742e-002	-9.2308e-004	-1.1701	71.022
18326	2.8742e-002	-1.8462e-003	-1.1701	71.022
18327	2.8742e-002	-2.7692e-003	-1.1701	71.022
18328	2.8742e-002	-3.6923e-003	-1.1701	71.022
18329	2.8742e-002	-4.6154e-003	-1.1701	71.022
18330	2.8742e-002	-5.5385e-003	-1.1701	71.022
18331	2.8742e-002	-6.4615e-003	-1.1701	71.022
18332	2.8742e-002	-7.3846e-003	-1.1701	71.022
18333	2.8742e-002	-8.3077e-003	-1.1701	71.022
18334	2.8742e-002	-9.2308e-003	-1.1701	71.022
18335	2.8742e-002	-1.0154e-002	-1.1701	71.022
18336	2.8742e-002	-1.1077e-002	-1.1701	71.022
18337	2.9063e-002	-9.2308e-004	-1.1681	78.859
18338	2.9063e-002	-1.8462e-003	-1.1681	78.859
18339	2.9063e-002	-2.7692e-003	-1.1681	78.859
18340	2.9063e-002	-3.6923e-003	-1.1681	78.859
18341	2.9063e-002	-4.6154e-003	-1.1681	78.859
18342	2.9063e-002	-5.5385e-003	-1.1681	78.859
18343	2.9063e-002	-6.4615e-003	-1.1681	78.859
18344	2.9063e-002	-7.3846e-003	-1.1681	78.859
18345	2.9063e-002	-8.3077e-003	-1.1681	78.859
18346	2.9063e-002	-9.2308e-003	-1.1681	78.859
18347	2.9063e-002	-1.0154e-002	-1.1681	78.859
18348	2.9063e-002	-1.1077e-002	-1.1681	78.859
18349	3.0077e-002	-9.2308e-004	-1.1682	77.752
18350	3.0077e-002	-1.8462e-003	-1.1682	77.752
18351	3.0077e-002	-2.7692e-003	-1.1682	77.752
18352	3.0077e-002	-3.6923e-003	-1.1682	77.752
18353	3.0077e-002	-4.6154e-003	-1.1682	77.752
18354	3.0077e-002	-5.5385e-003	-1.1682	77.752
18355	3.0077e-002	-6.4615e-003	-1.1682	77.752
18356	3.0077e-002	-7.3846e-003	-1.1682	77.752
18357	3.0077e-002	-8.3077e-003	-1.1682	77.752
18358	3.0077e-002	-9.2308e-003	-1.1682	77.752
18359	3.0077e-002	-1.0154e-002	-1.1682	77.752
18360	3.0077e-002	-1.1077e-002	-1.1682	77.752
18361	3.2038e-002	-9.2308e-004	-1.168	77.491
18362	3.2038e-002	-1.8462e-003	-1.168	77.491
18363	3.2038e-002	-2.7692e-003	-1.168	77.491
18364	3.2038e-002	-3.6923e-003	-1.168	77.491
18365	3.2038e-002	-4.6154e-003	-1.168	77.491
18366	3.2038e-002	-5.5385e-003	-1.168	77.491
18367	3.2038e-002	-6.4615e-003	-1.168	77.491
18368	3.2038e-002	-7.3846e-003	-1.168	77.491
18369	3.2038e-002	-8.3077e-003	-1.168	77.491
18370	3.2038e-002	-9.2308e-003	-1.168	77.491
18371	3.2038e-002	-1.0154e-002	-1.168	77.491
18372	3.2038e-002	-1.1077e-002	-1.168	77.491
18373	3.3807e-002	-9.2308e-004	-1.1677	77.896
18374	3.3807e-002	-1.8462e-003	-1.1677	77.896
18375	3.3807e-002	-2.7692e-003	-1.1677	77.896
18376	3.3807e-002	-3.6923e-003	-1.1677	77.896
18377	3.3807e-002	-4.6154e-003	-1.1677	77.896
18378	3.3807e-002	-5.5385e-003	-1.1677	77.896
18379	3.3807e-002	-6.4615e-003	-1.1677	77.896
18380	3.3807e-002	-7.3846e-003	-1.1677	77.896
18381	3.3807e-002	-8.3077e-003	-1.1677	77.896
18382	3.3807e-002	-9.2308e-003	-1.1677	77.896
18383	3.3807e-002	-1.0154e-002	-1.1677	77.896
18384	3.3807e-002	-1.1077e-002	-1.1677	77.896
18385	3.8728e-002	-9.2308e-004	-1.1681	75.37
18386	3.8728e-002	-1.8462e-003	-1.1681	75.37
18387	3.8728e-002	-2.7692e-003	-1.1681	75.37
18388	3.8728e-002	-3.6923e-003	-1.1681	75.37
18389	3.8728e-002	-4.6154e-003	-1.1681	75.37
18390	3.8728e-002	-5.5385e-003	-1.1681	75.37
18391	3.8728e-002	-6.4615e-003	-1.1681	75.37
18392	3.8728e-002	-7.3846e-003	-1.1681	75.37
18393	3.8728e-002	-8.3077e-003	-1.1681	75.37
18394	3.8728e-002	-9.2308e-003	-1.1681	75.37
18395	3.8728e-002	-1.0154e-002	-1.1681	75.37
18396	3.8728e-002	-1.1077e-002	-1.1681	75.37
18397	4.0068e-002	-9.2308e-004	-1.1682	75.414
18398	4.0068e-002	-1.8462e-003	-1.1682	75.414
18399	4.0068e-002	-2.7692e-003	-1.1682	75.414
18400	4.0068e-002	-3.6923e-003	-1.1682	75.414
18401	4.0068e-002	-4.6154e-003	-1.1682	75.414
18402	4.0068e-002	-5.5385e-003	-1.1682	75.414
18403	4.0068e-002	-6.4615e-003	-1.1682	75.414
18404	4.0068e-002	-7.3846e-003	-1.1682	75.414
18405	4.0068e-002	-8.3077e-003	-1.1682	75.414
18406	4.0068e-002	-9.2308e-003	-1.1682	75.414
18407	4.0068e-002	-1.0154e-002	-1.1682	75.414
18408	4.0068e-002	-1.1077e-002	-1.1682	75.414
18409	4.2133e-002	-9.2308e-004	-1.1678	78.658
18410	4.2133e-002	-1.8462e-003	-1.1678	78.658
18411	4.2133e-002	-2.7692e-003	-1.1678	78.658
18412	4.2133e-002	-3.6923e-003	-1.1678	78.658
18413	4.2133e-002	-4.6154e-003	-1.1678	78.658
18414	4.2133e-002	-5.5385e-003	-1.1678	78.658
18415	4.2133e-002	-6.4615e-003	-1.1678	78.658
18416	4.2133e-002	-7.3846e-003	-1.1678	78.658
18417	4.2133e-002	-8.3077e-003	-1.1678	78.658
18418	4.2133e-002	-9.2308e-003	-1.1678	78.658
18419	4.2133e-002	-1.0154e-002	-1.1678	78.658
