epoch,lr,train_loss,train_mse_loss,train_sobolev_loss,val_loss,val_rel_l2,val_mae,val_rmae,val_rrmse
1,0.0009999728588359286,0.4291144387131291,0.4066469101767455,2.246753059646913,0.1918815780017111,0.33749700763395857,54.55207655541746,0.2683096182325424,0.2713891802780456
2,0.0009998914383200486,0.11352904188845839,0.10471690968344254,0.8812132484146527,0.03719132264248199,0.14795692541769573,21.67856931523249,0.10662414749489689,0.12081454686122474
3,0.0009997557473810372,0.05993909510517759,0.05303246128439371,0.6906633865620408,0.014298137160949409,0.08504797433103833,13.344669645141833,0.06563459072525131,0.07482631465831237
4,0.000999565800898935,0.0217254271564473,0.01825017229587372,0.3475254991757018,0.0060087640304118395,0.05556048391652959,9.276539253271677,0.04562584713042132,0.048837981603596634
5,0.0009993216197035143,0.02259588709234127,0.019191303651314228,0.3404583475153361,0.007462516918571459,0.07127054232571806,10.852539033941365,0.05337726423837487,0.054136934999811176
6,0.0009990232305719946,0.012740848274136494,0.010027691301989503,0.2713157043659261,0.004085082305310708,0.04365721757390669,7.611518268387191,0.037436587013994764,0.04022919808458045
7,0.0009986706662261067,0.017696571812432792,0.014864427645391386,0.2832144171265619,0.004211934652024259,0.042892570394490445,7.681698056413584,0.03778176016453237,0.04063726088762547
8,0.0009982639653285047,0.010376855933905712,0.00795240611727682,0.24244498605174677,0.005059996225302004,0.05906206938837256,9.074526497843252,0.04463226505784809,0.044481785292021375
9,0.0009978031724785245,0.01977029135783336,0.01702120583338131,0.2749085655702012,0.010027273506340053,0.08926452685679709,12.353376972830457,0.060759004400056355,0.06311153254955928
10,0.0009972883382072953,0.014624673860713042,0.012102528548400318,0.252214534021914,0.0035062257181076952,0.041312298285109655,6.971656769195971,0.03428948418289916,0.03716720242879867
11,0.0009967195189721962,0.012867850233202001,0.010540853755914473,0.23269964504454818,0.006119937002141442,0.06558304248111589,9.791348732910514,0.04815789253851995,0.04900063132807934
12,0.0009960967771506667,0.014644300590069699,0.012123954672798781,0.25203458994094813,0.01691108714375231,0.11145860233477184,16.979052298855827,0.08350998399902279,0.08135201047357833
13,0.0009954201810333646,0.009450097051116504,0.007380013794837785,0.20700833270592348,0.003035520804890742,0.04943502255316291,6.809980957102646,0.0334942958388564,0.034665129633658726
14,0.0009946898048166792,0.021907816182023712,0.019488095969427376,0.24197202696065817,0.060365060861739844,0.1379665317279952,24.057679873702295,0.1183255947354539,0.154087344761554
15,0.000993905728594593,0.017250411622392547,0.014730638257294362,0.25197733124451976,0.0050556317566790515,0.043843183985778265,8.722568403640883,0.04290118994848248,0.04438283032697579
16,0.0009930680383498998,0.012086972253330584,0.009968561133635895,0.21184111745761974,0.003915842544908325,0.05109618223671402,7.8842022488211,0.038777759326913554,0.03923587560448355
17,0.0009921768259447744,0.011580964114234251,0.009460101289109193,0.2120862804220191,0.003946907611356841,0.044076123008770604,7.646912925866355,0.037610672541720895,0.0393993282107503
18,0.0009912321891107007,0.006457631260855123,0.00485191469820815,0.1605716611657824,0.001595169795715871,0.03223094865679741,4.738000390110945,0.023303440604408285,0.02495013791994262
19,0.0009902342314377522,0.005035930177421375,0.0035615389734240514,0.14743912212683685,0.004185247810609225,0.04849493027265583,7.955773070807136,0.03912977415634273,0.04043750669644721
20,0.0009891830623632338,0.005795505756811638,0.004278041586595853,0.15174641996355995,0.006258103450010013,0.042229327373206615,8.290183126530742,0.04077454077293844,0.04971231553197721
21,0.00098807879715968,0.040126191673334685,0.036791834679232645,0.3334357399493456,0.10838260698235697,0.20694444285971778,41.75991715711361,0.20539250084211588,0.20660848927822378
22,0.0009869215569222143,0.04772670625575951,0.04282181428944958,0.49048921521753075,0.014769556388879815,0.12609059688236032,17.201902433424113,0.0846060528987712,0.07673905228097866
23,0.0009857114685552697,0.009144851322551923,0.007103914307663217,0.20409370543701308,0.0030399819693735074,0.050872718782297204,7.228265337128966,0.03555159098514634,0.03469979140926638
24,0.0009844486647586721,0.009776132112269157,0.007963540168462454,0.1812592030502856,0.005178880632027156,0.06686501979295696,9.357025424038602,0.04602171132322679,0.04524549223232534
25,0.0009831332840130884,0.005138579352725563,0.003650223956044231,0.14883554177358746,0.002821408846001658,0.035423365022454946,6.35369384515737,0.03125008757877123,0.033013971396874064
26,0.0009817654705648405,0.0059243169484294155,0.004519090223142744,0.14052267743806754,0.0014458441291935742,0.03119281306862831,4.493077515558744,0.02209880886319931,0.023482678962446064
27,0.0009803453744100864,0.0036075511327778387,0.0023902623330026734,0.12172888501414231,0.0017389408506763477,0.03311625165598733,5.264154001864307,0.025891281134324807,0.026026232116684027
28,0.0009788731512783728,0.0034537848184949585,0.0022377701652918146,0.1216014674132956,0.004771117593110021,0.06314616658325706,9.212124496796864,0.04530902878344708,0.043823032938500386
29,0.0009773489626155566,0.01692272680811584,0.014948689719728594,0.19740370575870786,0.005420528843791949,0.0629304057785443,9.764467518551688,0.04802567963632334,0.04660371241076933
30,0.0009757729755661006,0.005562263677295829,0.004175332485049564,0.13869312167433756,0.0007812886356583072,0.024631674175283738,3.4704961248789115,0.017069331712750466,0.017512823966663045
31,0.0009741453629547445,0.0039192993459956985,0.002723585588059255,0.11957137800220932,0.0007482720150922736,0.0195987535108413,3.1802509618548034,0.015641786258899053,0.017087989320861027
32,0.0009724663032675527,0.021834863223817332,0.019631364680701934,0.2203498565724918,0.034307299414649606,0.12076460218855313,18.107134003966223,0.08905835522052541,0.11360705462492322
33,0.0009707359806323412,0.0066933937046477305,0.005155598573453192,0.15377951519829886,0.03296698019322422,0.0936589454965932,22.041867928882148,0.10841099995749248,0.11325171475113306
34,0.0009689545847984858,0.013817500436977883,0.012196650457501944,0.1620849993479039,0.005276088059569399,0.07567675512816224,9.358014523779062,0.046026576123808435,0.045749858464994006
35,0.0009671223111161144,0.007188031081542639,0.005820191807496096,0.13678392871682132,0.0015942304615034824,0.03838361892849207,4.96325463335283,0.024411333902440557,0.02514894491976723
36,0.000965239360514684,0.003138514692753753,0.0020363703137263657,0.11021443912759424,0.0017192507285573003,0.0330906945679869,5.275615524245138,0.02594765362990232,0.025893720744021288
37,0.000963305939480947,0.005064937602063375,0.0038221351673460697,0.12428024629397051,0.0010593345020121585,0.02812410925648042,4.136038240582505,0.020342742410521166,0.020317323662142676
38,0.0009613222600363074,0.006563935617616932,0.0054652148841081985,0.10987207527671541,0.0047253188741807305,0.04791995542390006,8.55754419163072,0.04208953279224952,0.042292208238680296
39,0.0009592885397135703,0.007068428783012288,0.0058335701373705105,0.12348586593621544,0.0020227809759995174,0.047363828455231016,5.542256926039991,0.027259106048178085,0.027938660517348703
40,0.0009572050015330871,0.00445166688545474,0.003383595243628536,0.10680716756199088,0.003993716634189089,0.04430242795497179,7.863316220047705,0.03867503322076999,0.03972546287240761
41,0.0009550718739782986,0.003397986657884238,0.0023881172883972925,0.10098694101242082,0.001161356202727701,0.022237111268831152,3.7635690781958253,0.01851078540588098,0.02126645342524622
42,0.0009528893909706794,0.010041003765737903,0.008275719480713763,0.1765284349077514,0.004360411012183047,0.04561202986431973,8.218698623016888,0.040422950493366576,0.04171900469356787
43,0.0009506577918440856,0.008828151708335749,0.007528693567396008,0.12994581863417157,0.014417970966961648,0.08520736369703497,17.003304748044304,0.08362926754960137,0.07476183001321221
44,0.000948377321318509,0.0035660377242103486,0.002615510571714757,0.09505271891664181,0.0008537023305608374,0.024422615620174577,3.898065509508883,0.01917229434225642,0.01837022672379561
45,0.0009460482294732416,0.0021701020641817846,0.0013754105826332566,0.07946915134255375,0.0024192075070459396,0.02864322779434068,5.334452850837111,0.026237039875716052,0.030898011111146893
46,0.0009436707717194508,0.003780916396603321,0.0029074053904748457,0.08735110257486148,0.0029619571642898438,0.03343639255368284,5.923703737868292,0.029135218836546507,0.03427790578696851
47,0.0009412452087721706,0.004167245002047691,0.0032914765147974583,0.0875768490534808,0.0007756399378801385,0.02573717241840703,3.5676427817480625,0.01754713904957386,0.017477711051418408
48,0.000938771806621712,0.004987467883204642,0.004095415999264722,0.08920519032648631,0.001922555888692538,0.03647257656391178,5.258248761697617,0.02586223672694855,0.027111161398834047
49,0.0009362508365044934,0.0025804963852611505,0.001870859871373146,0.07096365384225334,0.012519978517149057,0.05959830661969526,11.414896097976678,0.05614316828252997,0.06858859122089647
50,0.0009336825748732968,0.007041411675579314,0.006013517917433222,0.10278938069407428,0.0010338057877056093,0.03024548619453396,4.054673834693486,0.019942558695064925,0.020061499290319085
51,0.0009310673033669517,0.002774515504383349,0.0020462459466736097,0.0728269578489874,0.0026812037297834954,0.03418613842555455,5.9962029439382585,0.029491799841909964,0.03272614269037241
52,0.0009284053087794505,0.0060133769754819304,0.005035299253358971,0.09780777330909457,0.0018822956092966099,0.030976762396416495,4.763863410620614,0.023430645609193765,0.027333596416385067
53,0.0009256968830284974,0.004118643640374233,0.003372681959548832,0.07459616846005832,0.0012222170836240468,0.029687446701739516,4.390354021398413,0.021593572339825683,0.02205768151156307
54,0.0009229423231234972,0.0199323661870689,0.01815828115140903,0.1774084981996566,0.005440484745324486,0.06478837640689952,9.836573415110031,0.048380326183246815,0.04588051848848759
55,0.0009201419311329846,0.017846364882175943,0.015967821398018195,0.18785434729818787,0.0034788669694939423,0.056196183258933684,7.930818736063387,0.039007038443036914,0.037220275499077235
56,0.0009172960141514989,0.006911911804179128,0.0059035800796534334,0.10083317272365093,0.0011305402214121488,0.03347801168316177,4.244732716885692,0.02087734668743202,0.021206680042777096
57,0.0009144048842659077,0.001923752106709539,0.001347952114779868,0.05758000119988407,0.001935624869980125,0.029866902955940793,5.4568132619443634,0.026838858857943293,0.027442461446677165
58,0.0009114688585211832,0.001071994866444064,0.0006373235824867152,0.04346712917488601,0.0002635630630215423,0.013195476547947952,1.9563998971317993,0.009622381816691622,0.01016323366101801
59,0.0009084882588856339,0.00235607235081261,0.0018904273698613647,0.046564498889659134,0.0057672141766589545,0.04607158786218081,8.038942725087733,0.03953883682815303,0.04669802897536212
60,0.0009054634122155986,0.015738305328912766,0.014126416679105854,0.1611888686328062,0.001874173680941264,0.03935570698231459,5.010347378660074,0.02464295545221004,0.026700604087222038
61,0.0009023946502196013,0.0021908515193250163,0.0015424172803510114,0.06484342513472906,0.000343556514255599,0.015630753338336946,2.3092650706769082,0.01135791831648497,0.011666994443018911
62,0.0008992823094219767,0.0009930470247387089,0.0006255025101251834,0.03675445234070399,0.00018163076715104075,0.012211805009948356,1.69760255976751,0.00834950974339352,0.008434689444411479
63,0.0008961267311259662,0.0007527691770519596,0.0004692435048387519,0.028352567540215593,0.00013982678622899888,0.010963904967398515,1.5586554509294122,0.00766611053880058,0.007379147387899767
