Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	43.153
18170	4.503e-002	-1.8462e-003	-1.1885	43.153
18171	4.503e-002	-2.7692e-003	-1.1885	43.153
18172	4.503e-002	-3.6923e-003	-1.1885	43.153
18173	4.503e-002	-4.6154e-003	-1.1885	43.153
18174	4.503e-002	-5.5385e-003	-1.1885	43.153
18175	4.503e-002	-6.4615e-003	-1.1885	43.153
18176	4.503e-002	-7.3846e-003	-1.1885	43.153
18177	4.503e-002	-8.3077e-003	-1.1885	43.153
18178	4.503e-002	-9.2308e-003	-1.1885	43.153
18179	4.503e-002	-1.0154e-002	-1.1885	43.153
18180	4.503e-002	-1.1077e-002	-1.1885	43.153
18181	4.5389e-002	-9.2308e-004	-1.1888	43.256
18182	4.5389e-002	-1.8462e-003	-1.1888	43.256
18183	4.5389e-002	-2.7692e-003	-1.1888	43.256
18184	4.5389e-002	-3.6923e-003	-1.1888	43.256
18185	4.5389e-002	-4.6154e-003	-1.1888	43.256
18186	4.5389e-002	-5.5385e-003	-1.1888	43.256
18187	4.5389e-002	-6.4615e-003	-1.1888	43.256
18188	4.5389e-002	-7.3846e-003	-1.1888	43.256
18189	4.5389e-002	-8.3077e-003	-1.1888	43.256
18190	4.5389e-002	-9.2308e-003	-1.1888	43.256
18191	4.5389e-002	-1.0154e-002	-1.1888	43.256
18192	4.5389e-002	-1.1077e-002	-1.1888	43.256
18193	4.5455e-002	-9.2308e-004	-1.171	69.49
18194	4.5455e-002	-1.8462e-003	-1.171	69.49
18195	4.5455e-002	-2.7692e-003	-1.171	69.49
18196	4.5455e-002	-3.6923e-003	-1.171	69.49
18197	4.5455e-002	-4.6154e-003	-1.171	69.49
18198	4.5455e-002	-5.5385e-003	-1.171	69.49
18199	4.5455e-002	-6.4615e-003	-1.171	69.49
18200	4.5455e-002	-7.3846e-003	-1.171	69.49
18201	4.5455e-002	-8.3077e-003	-1.171	69.49
18202	4.5455e-002	-9.2308e-003	-1.171	69.49
18203	4.5455e-002	-1.0154e-002	-1.171	69.49
18204	4.5455e-002	-1.1077e-002	-1.171	69.49
18205	4.5875e-002	-9.2308e-004	-1.1705	68.387
18206	4.5875e-002	-1.8462e-003	-1.1705	68.387
18207	4.5875e-002	-2.7692e-003	-1.1705	68.387
18208	4.5875e-002	-3.6923e-003	-1.1705	68.387
18209	4.5875e-002	-4.6154e-003	-1.1705	68.387
18210	4.5875e-002	-5.5385e-003	-1.1705	68.387
18211	4.5875e-002	-6.4615e-003	-1.1705	68.387
18212	4.5875e-002	-7.3846e-003	-1.1705	68.387
18213	4.5875e-002	-8.3077e-003	-1.1705	68.387
18214	4.5875e-002	-9.2308e-003	-1.1705	68.387
18215	4.5875e-002	-1.0154e-002	-1.1705	68.387
18216	4.5875e-002	-1.1077e-002	-1.1705	68.387
18217	4.129e-002	-9.2308e-004	-1.1684	104.7
18218	4.129e-002	-1.8462e-003	-1.1684	104.7
18219	4.129e-002	-2.7692e-003	-1.1684	104.7
18220	4.129e-002	-3.6923e-003	-1.1684	104.7
18221	4.129e-002	-4.6154e-003	-1.1684	104.7
18222	4.129e-002	-5.5385e-003	-1.1684	104.7
18223	4.129e-002	-6.4615e-003	-1.1684	104.7
18224	4.129e-002	-7.3846e-003	-1.1684	104.7
18225	4.129e-002	-8.3077e-003	-1.1684	104.7
18226	4.129e-002	-9.2308e-003	-1.1684	104.7
18227	4.129e-002	-1.0154e-002	-1.1684	104.7
18228	4.129e-002	-1.1077e-002	-1.1684	104.7
18229	4.2026e-002	-9.2308e-004	-1.1686	97.933
18230	4.2026e-002	-1.8462e-003	-1.1686	97.933
18231	4.2026e-002	-2.7692e-003	-1.1686	97.933
18232	4.2026e-002	-3.6923e-003	-1.1686	97.933
18233	4.2026e-002	-4.6154e-003	-1.1686	97.933
18234	4.2026e-002	-5.5385e-003	-1.1686	97.933
18235	4.2026e-002	-6.4615e-003	-1.1686	97.933
18236	4.2026e-002	-7.3846e-003	-1.1686	97.933
18237	4.2026e-002	-8.3077e-003	-1.1686	97.933
18238	4.2026e-002	-9.2308e-003	-1.1686	97.933
18239	4.2026e-002	-1.0154e-002	-1.1686	97.933
18240	4.2026e-002	-1.1077e-002	-1.1686	97.933
18241	4.303e-002	-9.2308e-004	-1.1689	88.671
18242	4.303e-002	-1.8462e-003	-1.1689	88.671
18243	4.303e-002	-2.7692e-003	-1.1689	88.671
18244	4.303e-002	-3.6923e-003	-1.1689	88.671
18245	4.303e-002	-4.6154e-003	-1.1689	88.671
18246	4.303e-002	-5.5385e-003	-1.1689	88.671
18247	4.303e-002	-6.4615e-003	-1.1689	88.671
18248	4.303e-002	-7.3846e-003	-1.1689	88.671
18249	4.303e-002	-8.3077e-003	-1.1689	88.671
18250	4.303e-002	-9.2308e-003	-1.1689	88.671
18251	4.303e-002	-1.0154e-002	-1.1689	88.671
18252	4.303e-002	-1.1077e-002	-1.1689	88.671
18253	4.523e-002	-9.2308e-004	-1.1689	73.186
18254	4.523e-002	-1.8462e-003	-1.1689	73.186
18255	4.523e-002	-2.7692e-003	-1.1689	73.186
18256	4.523e-002	-3.6923e-003	-1.1689	73.186
18257	4.523e-002	-4.6154e-003	-1.1689	73.186
18258	4.523e-002	-5.5385e-003	-1.1689	73.186
18259	4.523e-002	-6.4615e-003	-1.1689	73.186
18260	4.523e-002	-7.3846e-003	-1.1689	73.186
18261	4.523e-002	-8.3077e-003	-1.1689	73.186
18262	4.523e-002	-9.2308e-003	-1.1689	73.186
18263	4.523e-002	-1.0154e-002	-1.1689	73.186
18264	4.523e-002	-1.1077e-002	-1.1689	73.186
18265	4.5649e-002	-9.2308e-004	-1.1698	70.048
18266	4.5649e-002	-1.8462e-003	-1.1698	70.048
18267	4.5649e-002	-2.7692e-003	-1.1698	70.048
18268	4.5649e-002	-3.6923e-003	-1.1698	70.048
18269	4.5649e-002	-4.6154e-003	-1.1698	70.048
18270	4.5649e-002	-5.5385e-003	-1.1698	70.048
18271	4.5649e-002	-6.4615e-003	-1.1698	70.048
18272	4.5649e-002	-7.3846e-003	-1.1698	70.048
18273	4.5649e-002	-8.3077e-003	-1.1698	70.048
18274	4.5649e-002	-9.2308e-003	-1.1698	70.048
18275	4.5649e-002	-1.0154e-002	-1.1698	70.048
