Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	43.217
18170	4.503e-002	-1.8462e-003	-1.1885	43.217
18171	4.503e-002	-2.7692e-003	-1.1885	43.217
18172	4.503e-002	-3.6923e-003	-1.1885	43.217
18173	4.503e-002	-4.6154e-003	-1.1885	43.217
18174	4.503e-002	-5.5385e-003	-1.1885	43.217
18175	4.503e-002	-6.4615e-003	-1.1885	43.217
18176	4.503e-002	-7.3846e-003	-1.1885	43.217
18177	4.503e-002	-8.3077e-003	-1.1885	43.217
18178	4.503e-002	-9.2308e-003	-1.1885	43.217
18179	4.503e-002	-1.0154e-002	-1.1885	43.217
18180	4.503e-002	-1.1077e-002	-1.1885	43.217
18181	4.5389e-002	-9.2308e-004	-1.1888	43.321
18182	4.5389e-002	-1.8462e-003	-1.1888	43.321
18183	4.5389e-002	-2.7692e-003	-1.1888	43.321
18184	4.5389e-002	-3.6923e-003	-1.1888	43.321
18185	4.5389e-002	-4.6154e-003	-1.1888	43.321
18186	4.5389e-002	-5.5385e-003	-1.1888	43.321
18187	4.5389e-002	-6.4615e-003	-1.1888	43.321
18188	4.5389e-002	-7.3846e-003	-1.1888	43.321
18189	4.5389e-002	-8.3077e-003	-1.1888	43.321
18190	4.5389e-002	-9.2308e-003	-1.1888	43.321
18191	4.5389e-002	-1.0154e-002	-1.1888	43.321
18192	4.5389e-002	-1.1077e-002	-1.1888	43.321
18193	4.5455e-002	-9.2308e-004	-1.171	69.513
18194	4.5455e-002	-1.8462e-003	-1.171	69.513
18195	4.5455e-002	-2.7692e-003	-1.171	69.513
18196	4.5455e-002	-3.6923e-003	-1.171	69.513
18197	4.5455e-002	-4.6154e-003	-1.171	69.513
18198	4.5455e-002	-5.5385e-003	-1.171	69.513
18199	4.5455e-002	-6.4615e-003	-1.171	69.513
18200	4.5455e-002	-7.3846e-003	-1.171	69.513
18201	4.5455e-002	-8.3077e-003	-1.171	69.513
18202	4.5455e-002	-9.2308e-003	-1.171	69.513
18203	4.5455e-002	-1.0154e-002	-1.171	69.513
18204	4.5455e-002	-1.1077e-002	-1.171	69.513
18205	4.5875e-002	-9.2308e-004	-1.1705	68.41
18206	4.5875e-002	-1.8462e-003	-1.1705	68.41
18207	4.5875e-002	-2.7692e-003	-1.1705	68.41
18208	4.5875e-002	-3.6923e-003	-1.1705	68.41
18209	4.5875e-002	-4.6154e-003	-1.1705	68.41
18210	4.5875e-002	-5.5385e-003	-1.1705	68.41
18211	4.5875e-002	-6.4615e-003	-1.1705	68.41
18212	4.5875e-002	-7.3846e-003	-1.1705	68.41
18213	4.5875e-002	-8.3077e-003	-1.1705	68.41
18214	4.5875e-002	-9.2308e-003	-1.1705	68.41
18215	4.5875e-002	-1.0154e-002	-1.1705	68.41
18216	4.5875e-002	-1.1077e-002	-1.1705	68.41
18217	4.129e-002	-9.2308e-004	-1.1684	104.71
18218	4.129e-002	-1.8462e-003	-1.1684	104.71
18219	4.129e-002	-2.7692e-003	-1.1684	104.71
