Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18276	4.5649e-002	-1.1077e-002	-1.1698	60.718
18277	4.4137e-002	-9.2308e-004	-1.1693	70.927
18278	4.4137e-002	-1.8462e-003	-1.1693	70.927
18279	4.4137e-002	-2.7692e-003	-1.1693	70.927
18280	4.4137e-002	-3.6923e-003	-1.1693	70.927
18281	4.4137e-002	-4.6154e-003	-1.1693	70.927
18282	4.4137e-002	-5.5385e-003	-1.1693	70.927
18283	4.4137e-002	-6.4615e-003	-1.1693	70.927
18284	4.4137e-002	-7.3846e-003	-1.1693	70.927
18285	4.4137e-002	-8.3077e-003	-1.1693	70.927
18286	4.4137e-002	-9.2308e-003	-1.1693	70.927
18287	4.4137e-002	-1.0154e-002	-1.1693	70.927
18288	4.4137e-002	-1.1077e-002	-1.1693	70.927
18289	2.9014e-002	-9.2308e-004	-1.1692	65.764
18290	2.9014e-002	-1.8462e-003	-1.1692	65.764
18291	2.9014e-002	-2.7692e-003	-1.1692	65.764
18292	2.9014e-002	-3.6923e-003	-1.1692	65.764
18293	2.9014e-002	-4.6154e-003	-1.1692	65.764
18294	2.9014e-002	-5.5385e-003	-1.1692	65.764
18295	2.9014e-002	-6.4615e-003	-1.1692	65.764
18296	2.9014e-002	-7.3846e-003	-1.1692	65.764
18297	2.9014e-002	-8.3077e-003	-1.1692	65.764
18298	2.9014e-002	-9.2308e-003	-1.1692	65.764
18299	2.9014e-002	-1.0154e-002	-1.1692	65.764
18300	2.9014e-002	-1.1077e-002	-1.1692	65.764
18301	4.6212e-002	-9.2308e-004	-1.1885	30.504
18302	4.6212e-002	-1.8462e-003	-1.1885	30.504
18303	4.6212e-002	-2.7692e-003	-1.1885	30.504
18304	4.6212e-002	-3.6923e-003	-1.1885	30.504
18305	4.6212e-002	-4.6154e-003	-1.1885	30.504
18306	4.6212e-002	-5.5385e-003	-1.1885	30.504
18307	4.6212e-002	-6.4615e-003	-1.1885	30.504
18308	4.6212e-002	-7.3846e-003	-1.1885	30.504
18309	4.6212e-002	-8.3077e-003	-1.1885	30.504
18310	4.6212e-002	-9.2308e-003	-1.1885	30.504
18311	4.6212e-002	-1.0154e-002	-1.1885	30.504
18312	4.6212e-002	-1.1077e-002	-1.1885	30.504
18313	4.4821e-002	-9.2308e-004	-1.1702	63.968
18314	4.4821e-002	-1.8462e-003	-1.1702	63.968
18315	4.4821e-002	-2.7692e-003	-1.1702	63.968
18316	4.4821e-002	-3.6923e-003	-1.1702	63.968
18317	4.4821e-002	-4.6154e-003	-1.1702	63.968
18318	4.4821e-002	-5.5385e-003	-1.1702	63.968
18319	4.4821e-002	-6.4615e-003	-1.1702	63.968
18320	4.4821e-002	-7.3846e-003	-1.1702	63.968
18321	4.4821e-002	-8.3077e-003	-1.1702	63.968
18322	4.4821e-002	-9.2308e-003	-1.1702	63.968
18323	4.4821e-002	-1.0154e-002	-1.1702	63.968
18324	4.4821e-002	-1.1077e-002	-1.1702	63.968
18325	2.8742e-002	-9.2308e-004	-1.1701	61.933
18326	2.8742e-002	-1.8462e-003	-1.1701	61.933
18327	2.8742e-002	-2.7692e-003	-1.1701	61.933
18328	2.8742e-002	-3.6923e-003	-1.1701	61.933
18329	2.8742e-002	-4.6154e-003	-1.1701	61.933
18330	2.8742e-002	-5.5385e-003	-1.1701	61.933
18331	2.8742e-002	-6.4615e-003	-1.1701	61.933
18332	2.8742e-002	-7.3846e-003	-1.1701	61.933
18333	2.8742e-002	-8.3077e-003	-1.1701	61.933
18334	2.8742e-002	-9.2308e-003	-1.1701	61.933
18335	2.8742e-002	-1.0154e-002	-1.1701	61.933
18336	2.8742e-002	-1.1077e-002	-1.1701	61.933
18337	2.9063e-002	-9.2308e-004	-1.1681	68.553
18338	2.9063e-002	-1.8462e-003	-1.1681	68.553
18339	2.9063e-002	-2.7692e-003	-1.1681	68.553
18340	2.9063e-002	-3.6923e-003	-1.1681	68.553
18341	2.9063e-002	-4.6154e-003	-1.1681	68.553
18342	2.9063e-002	-5.5385e-003	-1.1681	68.553
18343	2.9063e-002	-6.4615e-003	-1.1681	68.553
18344	2.9063e-002	-7.3846e-003	-1.1681	68.553
18345	2.9063e-002	-8.3077e-003	-1.1681	68.553
18346	2.9063e-002	-9.2308e-003	-1.1681	68.553
18347	2.9063e-002	-1.0154e-002	-1.1681	68.553
18348	2.9063e-002	-1.1077e-002	-1.1681	68.553
18349	3.0077e-002	-9.2308e-004	-1.1682	76.881
18350	3.0077e-002	-1.8462e-003	-1.1682	76.881
18351	3.0077e-002	-2.7692e-003	-1.1682	76.881
18352	3.0077e-002	-3.6923e-003	-1.1682	76.881
18353	3.0077e-002	-4.6154e-003	-1.1682	76.881
18354	3.0077e-002	-5.5385e-003	-1.1682	76.881
