Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	35.028
18170	4.503e-002	-1.8462e-003	-1.1885	35.028
18171	4.503e-002	-2.7692e-003	-1.1885	35.028
18172	4.503e-002	-3.6923e-003	-1.1885	35.028
18173	4.503e-002	-4.6154e-003	-1.1885	35.028
18174	4.503e-002	-5.5385e-003	-1.1885	35.028
18175	4.503e-002	-6.4615e-003	-1.1885	35.028
18176	4.503e-002	-7.3846e-003	-1.1885	35.028
18177	4.503e-002	-8.3077e-003	-1.1885	35.028
18178	4.503e-002	-9.2308e-003	-1.1885	35.028
18179	4.503e-002	-1.0154e-002	-1.1885	35.028
18180	4.503e-002	-1.1077e-002	-1.1885	35.028
18181	4.5389e-002	-9.2308e-004	-1.1888	34.984
18182	4.5389e-002	-1.8462e-003	-1.1888	34.984
18183	4.5389e-002	-2.7692e-003	-1.1888	34.984
18184	4.5389e-002	-3.6923e-003	-1.1888	34.984
18185	4.5389e-002	-4.6154e-003	-1.1888	34.984
18186	4.5389e-002	-5.5385e-003	-1.1888	34.984
18187	4.5389e-002	-6.4615e-003	-1.1888	34.984
18188	4.5389e-002	-7.3846e-003	-1.1888	34.984
18189	4.5389e-002	-8.3077e-003	-1.1888	34.984
18190	4.5389e-002	-9.2308e-003	-1.1888	34.984
18191	4.5389e-002	-1.0154e-002	-1.1888	34.984
18192	4.5389e-002	-1.1077e-002	-1.1888	34.984
18193	4.5455e-002	-9.2308e-004	-1.171	65.791
18194	4.5455e-002	-1.8462e-003	-1.171	65.791
18195	4.5455e-002	-2.7692e-003	-1.171	65.791
18196	4.5455e-002	-3.6923e-003	-1.171	65.791
18197	4.5455e-002	-4.6154e-003	-1.171	65.791
18198	4.5455e-002	-5.5385e-003	-1.171	65.791
18199	4.5455e-002	-6.4615e-003	-1.171	65.791
18200	4.5455e-002	-7.3846e-003	-1.171	65.791
18201	4.5455e-002	-8.3077e-003	-1.171	65.791
18202	4.5455e-002	-9.2308e-003	-1.171	65.791
18203	4.5455e-002	-1.0154e-002	-1.171	65.791
18204	4.5455e-002	-1.1077e-002	-1.171	65.791
18205	4.5875e-002	-9.2308e-004	-1.1705	64.832
18206	4.5875e-002	-1.8462e-003	-1.1705	64.832
18207	4.5875e-002	-2.7692e-003	-1.1705	64.832
18208	4.5875e-002	-3.6923e-003	-1.1705	64.832
18209	4.5875e-002	-4.6154e-003	-1.1705	64.832
18210	4.5875e-002	-5.5385e-003	-1.1705	64.832
18211	4.5875e-002	-6.4615e-003	-1.1705	64.832
18212	4.5875e-002	-7.3846e-003	-1.1705	64.832
18213	4.5875e-002	-8.3077e-003	-1.1705	64.832
18214	4.5875e-002	-9.2308e-003	-1.1705	64.832
18215	4.5875e-002	-1.0154e-002	-1.1705	64.832
18216	4.5875e-002	-1.1077e-002	-1.1705	64.832
18217	4.129e-002	-9.2308e-004	-1.1684	102.12
18218	4.129e-002	-1.8462e-003	-1.1684	102.12
18219	4.129e-002	-2.7692e-003	-1.1684	102.12
18220	4.129e-002	-3.6923e-003	-1.1684	102.12
18221	4.129e-002	-4.6154e-003	-1.1684	102.12
18222	4.129e-002	-5.5385e-003	-1.1684	102.12
18223	4.129e-002	-6.4615e-003	-1.1684	102.12
18224	4.129e-002	-7.3846e-003	-1.1684	102.12
18225	4.129e-002	-8.3077e-003	-1.1684	102.12
18226	4.129e-002	-9.2308e-003	-1.1684	102.12
18227	4.129e-002	-1.0154e-002	-1.1684	102.12
18228	4.129e-002	-1.1077e-002	-1.1684	102.12
18229	4.2026e-002	-9.2308e-004	-1.1686	95.276
18230	4.2026e-002	-1.8462e-003	-1.1686	95.276
18231	4.2026e-002	-2.7692e-003	-1.1686	95.276
18232	4.2026e-002	-3.6923e-003	-1.1686	95.276
18233	4.2026e-002	-4.6154e-003	-1.1686	95.276
18234	4.2026e-002	-5.5385e-003	-1.1686	95.276
18235	4.2026e-002	-6.4615e-003	-1.1686	95.276
18236	4.2026e-002	-7.3846e-003	-1.1686	95.276
18237	4.2026e-002	-8.3077e-003	-1.1686	95.276
18238	4.2026e-002	-9.2308e-003	-1.1686	95.276
18239	4.2026e-002	-1.0154e-002	-1.1686	95.276
18240	4.2026e-002	-1.1077e-002	-1.1686	95.276
18241	4.303e-002	-9.2308e-004	-1.1689	85.863
18242	4.303e-002	-1.8462e-003	-1.1689	85.863
18243	4.303e-002	-2.7692e-003	-1.1689	85.863
18244	4.303e-002	-3.6923e-003	-1.1689	85.863
18245	4.303e-002	-4.6154e-003	-1.1689	85.863
18246	4.303e-002	-5.5385e-003	-1.1689	85.863
18247	4.303e-002	-6.4615e-003	-1.1689	85.863
18248	4.303e-002	-7.3846e-003	-1.1689	85.863
18249	4.303e-002	-8.3077e-003	-1.1689	85.863
18250	4.303e-002	-9.2308e-003	-1.1689	85.863
18251	4.303e-002	-1.0154e-002	-1.1689	85.863
18252	4.303e-002	-1.1077e-002	-1.1689	85.863
18253	4.523e-002	-9.2308e-004	-1.1689	70.288
18254	4.523e-002	-1.8462e-003	-1.1689	70.288
18255	4.523e-002	-2.7692e-003	-1.1689	70.288
18256	4.523e-002	-3.6923e-003	-1.1689	70.288
18257	4.523e-002	-4.6154e-003	-1.1689	70.288
18258	4.523e-002	-5.5385e-003	-1.1689	70.288
18259	4.523e-002	-6.4615e-003	-1.1689	70.288
18260	4.523e-002	-7.3846e-003	-1.1689	70.288
