Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	42.465
18170	4.503e-002	-1.8462e-003	-1.1885	42.465
18171	4.503e-002	-2.7692e-003	-1.1885	42.465
18172	4.503e-002	-3.6923e-003	-1.1885	42.465
18173	4.503e-002	-4.6154e-003	-1.1885	42.465
18174	4.503e-002	-5.5385e-003	-1.1885	42.465
18175	4.503e-002	-6.4615e-003	-1.1885	42.465
18176	4.503e-002	-7.3846e-003	-1.1885	42.465
18177	4.503e-002	-8.3077e-003	-1.1885	42.465
18178	4.503e-002	-9.2308e-003	-1.1885	42.465
18179	4.503e-002	-1.0154e-002	-1.1885	42.465
18180	4.503e-002	-1.1077e-002	-1.1885	42.465
18181	4.5389e-002	-9.2308e-004	-1.1888	42.554
18182	4.5389e-002	-1.8462e-003	-1.1888	42.554
18183	4.5389e-002	-2.7692e-003	-1.1888	42.554
18184	4.5389e-002	-3.6923e-003	-1.1888	42.554
18185	4.5389e-002	-4.6154e-003	-1.1888	42.554
18186	4.5389e-002	-5.5385e-003	-1.1888	42.554
18187	4.5389e-002	-6.4615e-003	-1.1888	42.554
18188	4.5389e-002	-7.3846e-003	-1.1888	42.554
18189	4.5389e-002	-8.3077e-003	-1.1888	42.554
18190	4.5389e-002	-9.2308e-003	-1.1888	42.554
18191	4.5389e-002	-1.0154e-002	-1.1888	42.554
18192	4.5389e-002	-1.1077e-002	-1.1888	42.554
18193	4.5455e-002	-9.2308e-004	-1.171	69.237
18194	4.5455e-002	-1.8462e-003	-1.171	69.237
18195	4.5455e-002	-2.7692e-003	-1.171	69.237
18196	4.5455e-002	-3.6923e-003	-1.171	69.237
18197	4.5455e-002	-4.6154e-003	-1.171	69.237
18198	4.5455e-002	-5.5385e-003	-1.171	69.237
18199	4.5455e-002	-6.4615e-003	-1.171	69.237
18200	4.5455e-002	-7.3846e-003	-1.171	69.237
18201	4.5455e-002	-8.3077e-003	-1.171	69.237
18202	4.5455e-002	-9.2308e-003	-1.171	69.237
18203	4.5455e-002	-1.0154e-002	-1.171	69.237
18204	4.5455e-002	-1.1077e-002	-1.171	69.237
18205	4.5875e-002	-9.2308e-004	-1.1705	68.146
18206	4.5875e-002	-1.8462e-003	-1.1705	68.146
18207	4.5875e-002	-2.7692e-003	-1.1705	68.146
18208	4.5875e-002	-3.6923e-003	-1.1705	68.146
18209	4.5875e-002	-4.6154e-003	-1.1705	68.146
18210	4.5875e-002	-5.5385e-003	-1.1705	68.146
18211	4.5875e-002	-6.4615e-003	-1.1705	68.146
18212	4.5875e-002	-7.3846e-003	-1.1705	68.146
18213	4.5875e-002	-8.3077e-003	-1.1705	68.146
18214	4.5875e-002	-9.2308e-003	-1.1705	68.146
18215	4.5875e-002	-1.0154e-002	-1.1705	68.146
18216	4.5875e-002	-1.1077e-002	-1.1705	68.146
18217	4.129e-002	-9.2308e-004	-1.1684	104.53
18218	4.129e-002	-1.8462e-003	-1.1684	104.53
18219	4.129e-002	-2.7692e-003	-1.1684	104.53
18220	4.129e-002	-3.6923e-003	-1.1684	104.53
18221	4.129e-002	-4.6154e-003	-1.1684	104.53
18222	4.129e-002	-5.5385e-003	-1.1684	104.53
18223	4.129e-002	-6.4615e-003	-1.1684	104.53
18224	4.129e-002	-7.3846e-003	-1.1684	104.53
18225	4.129e-002	-8.3077e-003	-1.1684	104.53
18226	4.129e-002	-9.2308e-003	-1.1684	104.53
18227	4.129e-002	-1.0154e-002	-1.1684	104.53
18228	4.129e-002	-1.1077e-002	-1.1684	104.53
18229	4.2026e-002	-9.2308e-004	-1.1686	97.758
18230	4.2026e-002	-1.8462e-003	-1.1686	97.758
18231	4.2026e-002	-2.7692e-003	-1.1686	97.758
18232	4.2026e-002	-3.6923e-003	-1.1686	97.758
18233	4.2026e-002	-4.6154e-003	-1.1686	97.758
18234	4.2026e-002	-5.5385e-003	-1.1686	97.758
18235	4.2026e-002	-6.4615e-003	-1.1686	97.758
18236	4.2026e-002	-7.3846e-003	-1.1686	97.758
18237	4.2026e-002	-8.3077e-003	-1.1686	97.758
18238	4.2026e-002	-9.2308e-003	-1.1686	97.758
18239	4.2026e-002	-1.0154e-002	-1.1686	97.758
18240	4.2026e-002	-1.1077e-002	-1.1686	97.758
18241	4.303e-002	-9.2308e-004	-1.1689	88.485
18242	4.303e-002	-1.8462e-003	-1.1689	88.485
18243	4.303e-002	-2.7692e-003	-1.1689	88.485
18244	4.303e-002	-3.6923e-003	-1.1689	88.485
18245	4.303e-002	-4.6154e-003	-1.1689	88.485
18246	4.303e-002	-5.5385e-003	-1.1689	88.485
18247	4.303e-002	-6.4615e-003	-1.1689	88.485
18248	4.303e-002	-7.3846e-003	-1.1689	88.485
18249	4.303e-002	-8.3077e-003	-1.1689	88.485
18250	4.303e-002	-9.2308e-003	-1.1689	88.485
18251	4.303e-002	-1.0154e-002	-1.1689	88.485
18252	4.303e-002	-1.1077e-002	-1.1689	88.485
18253	4.523e-002	-9.2308e-004	-1.1689	72.993
18254	4.523e-002	-1.8462e-003	-1.1689	72.993
18255	4.523e-002	-2.7692e-003	-1.1689	72.993
18256	4.523e-002	-3.6923e-003	-1.1689	72.993
18257	4.523e-002	-4.6154e-003	-1.1689	72.993
18258	4.523e-002	-5.5385e-003	-1.1689	72.993
18259	4.523e-002	-6.4615e-003	-1.1689	72.993
18260	4.523e-002	-7.3846e-003	-1.1689	72.993
18261	4.523e-002	-8.3077e-003	-1.1689	72.993
18262	4.523e-002	-9.2308e-003	-1.1689	72.993
18263	4.523e-002	-1.0154e-002	-1.1689	72.993
18264	4.523e-002	-1.1077e-002	-1.1689	72.993
18265	4.5649e-002	-9.2308e-004	-1.1698	69.829
18266	4.5649e-002	-1.8462e-003	-1.1698	69.829
18267	4.5649e-002	-2.7692e-003	-1.1698	69.829
18268	4.5649e-002	-3.6923e-003	-1.1698	69.829
18269	4.5649e-002	-4.6154e-003	-1.1698	69.829
18270	4.5649e-002	-5.5385e-003	-1.1698	69.829
18271	4.5649e-002	-6.4615e-003	-1.1698	69.829
18272	4.5649e-002	-7.3846e-003	-1.1698	69.829
18273	4.5649e-002	-8.3077e-003	-1.1698	69.829
18274	4.5649e-002	-9.2308e-003	-1.1698	69.829
18275	4.5649e-002	-1.0154e-002	-1.1698	69.829
18276	4.5649e-002	-1.1077e-002	-1.1698	69.829
18277	4.4137e-002	-9.2308e-004	-1.1693	79.467
18278	4.4137e-002	-1.8462e-003	-1.1693	79.467
18279	4.4137e-002	-2.7692e-003	-1.1693	79.467
18280	4.4137e-002	-3.6923e-003	-1.1693	79.467
18281	4.4137e-002	-4.6154e-003	-1.1693	79.467
18282	4.4137e-002	-5.5385e-003	-1.1693	79.467
18283	4.4137e-002	-6.4615e-003	-1.1693	79.467
18284	4.4137e-002	-7.3846e-003	-1.1693	79.467
18285	4.4137e-002	-8.3077e-003	-1.1693	79.467
18286	4.4137e-002	-9.2308e-003	-1.1693	79.467
18287	4.4137e-002	-1.0154e-002	-1.1693	79.467
18288	4.4137e-002	-1.1077e-002	-1.1693	79.467
18289	2.9014e-002	-9.2308e-004	-1.1692	74.262
18290	2.9014e-002	-1.8462e-003	-1.1692	74.262
18291	2.9014e-002	-2.7692e-003	-1.1692	74.262
18292	2.9014e-002	-3.6923e-003	-1.1692	74.262
18293	2.9014e-002	-4.6154e-003	-1.1692	74.262
18294	2.9014e-002	-5.5385e-003	-1.1692	74.262
18295	2.9014e-002	-6.4615e-003	-1.1692	74.262
18296	2.9014e-002	-7.3846e-003	-1.1692	74.262
18297	2.9014e-002	-8.3077e-003	-1.1692	74.262
18298	2.9014e-002	-9.2308e-003	-1.1692	74.262
