Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	38.548
18170	4.503e-002	-1.8462e-003	-1.1885	38.548
18171	4.503e-002	-2.7692e-003	-1.1885	38.548
18172	4.503e-002	-3.6923e-003	-1.1885	38.548
18173	4.503e-002	-4.6154e-003	-1.1885	38.548
18174	4.503e-002	-5.5385e-003	-1.1885	38.548
18175	4.503e-002	-6.4615e-003	-1.1885	38.548
18176	4.503e-002	-7.3846e-003	-1.1885	38.548
18177	4.503e-002	-8.3077e-003	-1.1885	38.548
18178	4.503e-002	-9.2308e-003	-1.1885	38.548
18179	4.503e-002	-1.0154e-002	-1.1885	38.548
18180	4.503e-002	-1.1077e-002	-1.1885	38.548
18181	4.5389e-002	-9.2308e-004	-1.1888	38.561
18182	4.5389e-002	-1.8462e-003	-1.1888	38.561
18183	4.5389e-002	-2.7692e-003	-1.1888	38.561
18184	4.5389e-002	-3.6923e-003	-1.1888	38.561
18185	4.5389e-002	-4.6154e-003	-1.1888	38.561
18186	4.5389e-002	-5.5385e-003	-1.1888	38.561
18187	4.5389e-002	-6.4615e-003	-1.1888	38.561
18188	4.5389e-002	-7.3846e-003	-1.1888	38.561
18189	4.5389e-002	-8.3077e-003	-1.1888	38.561
18190	4.5389e-002	-9.2308e-003	-1.1888	38.561
18191	4.5389e-002	-1.0154e-002	-1.1888	38.561
18192	4.5389e-002	-1.1077e-002	-1.1888	38.561
18193	4.5455e-002	-9.2308e-004	-1.171	67.709
18194	4.5455e-002	-1.8462e-003	-1.171	67.709
18195	4.5455e-002	-2.7692e-003	-1.171	67.709
18196	4.5455e-002	-3.6923e-003	-1.171	67.709
18197	4.5455e-002	-4.6154e-003	-1.171	67.709
18198	4.5455e-002	-5.5385e-003	-1.171	67.709
18199	4.5455e-002	-6.4615e-003	-1.171	67.709
18200	4.5455e-002	-7.3846e-003	-1.171	67.709
18201	4.5455e-002	-8.3077e-003	-1.171	67.709
18202	4.5455e-002	-9.2308e-003	-1.171	67.709
18203	4.5455e-002	-1.0154e-002	-1.171	67.709
18204	4.5455e-002	-1.1077e-002	-1.171	67.709
18205	4.5875e-002	-9.2308e-004	-1.1705	66.682
18206	4.5875e-002	-1.8462e-003	-1.1705	66.682
18207	4.5875e-002	-2.7692e-003	-1.1705	66.682
18208	4.5875e-002	-3.6923e-003	-1.1705	66.682
18209	4.5875e-002	-4.6154e-003	-1.1705	66.682
18210	4.5875e-002	-5.5385e-003	-1.1705	66.682
18211	4.5875e-002	-6.4615e-003	-1.1705	66.682
18212	4.5875e-002	-7.3846e-003	-1.1705	66.682
18213	4.5875e-002	-8.3077e-003	-1.1705	66.682
18214	4.5875e-002	-9.2308e-003	-1.1705	66.682
18215	4.5875e-002	-1.0154e-002	-1.1705	66.682
18216	4.5875e-002	-1.1077e-002	-1.1705	66.682
18217	4.129e-002	-9.2308e-004	-1.1684	103.49
18218	4.129e-002	-1.8462e-003	-1.1684	103.49
18219	4.129e-002	-2.7692e-003	-1.1684	103.49
18220	4.129e-002	-3.6923e-003	-1.1684	103.49
18221	4.129e-002	-4.6154e-003	-1.1684	103.49
18222	4.129e-002	-5.5385e-003	-1.1684	103.49
18223	4.129e-002	-6.4615e-003	-1.1684	103.49
18224	4.129e-002	-7.3846e-003	-1.1684	103.49
18225	4.129e-002	-8.3077e-003	-1.1684	103.49
18226	4.129e-002	-9.2308e-003	-1.1684	103.49
18227	4.129e-002	-1.0154e-002	-1.1684	103.49
18228	4.129e-002	-1.1077e-002	-1.1684	103.49
18229	4.2026e-002	-9.2308e-004	-1.1686	96.686
18230	4.2026e-002	-1.8462e-003	-1.1686	96.686
18231	4.2026e-002	-2.7692e-003	-1.1686	96.686
18232	4.2026e-002	-3.6923e-003	-1.1686	96.686
18233	4.2026e-002	-4.6154e-003	-1.1686	96.686
18234	4.2026e-002	-5.5385e-003	-1.1686	96.686
18235	4.2026e-002	-6.4615e-003	-1.1686	96.686
18236	4.2026e-002	-7.3846e-003	-1.1686	96.686
18237	4.2026e-002	-8.3077e-003	-1.1686	96.686
18238	4.2026e-002	-9.2308e-003	-1.1686	96.686
18239	4.2026e-002	-1.0154e-002	-1.1686	96.686
18240	4.2026e-002	-1.1077e-002	-1.1686	96.686
18241	4.303e-002	-9.2308e-004	-1.1689	87.348
18242	4.303e-002	-1.8462e-003	-1.1689	87.348
18243	4.303e-002	-2.7692e-003	-1.1689	87.348
18244	4.303e-002	-3.6923e-003	-1.1689	87.348
18245	4.303e-002	-4.6154e-003	-1.1689	87.348
18246	4.303e-002	-5.5385e-003	-1.1689	87.348
18247	4.303e-002	-6.4615e-003	-1.1689	87.348
18248	4.303e-002	-7.3846e-003	-1.1689	87.348
18249	4.303e-002	-8.3077e-003	-1.1689	87.348
18250	4.303e-002	-9.2308e-003	-1.1689	87.348
18251	4.303e-002	-1.0154e-002	-1.1689	87.348
18252	4.303e-002	-1.1077e-002	-1.1689	87.348
18253	4.523e-002	-9.2308e-004	-1.1689	71.814
18254	4.523e-002	-1.8462e-003	-1.1689	71.814
18255	4.523e-002	-2.7692e-003	-1.1689	71.814
18256	4.523e-002	-3.6923e-003	-1.1689	71.814
18257	4.523e-002	-4.6154e-003	-1.1689	71.814
18258	4.523e-002	-5.5385e-003	-1.1689	71.814
18259	4.523e-002	-6.4615e-003	-1.1689	71.814
18260	4.523e-002	-7.3846e-003	-1.1689	71.814
18261	4.523e-002	-8.3077e-003	-1.1689	71.814
18262	4.523e-002	-9.2308e-003	-1.1689	71.814
18263	4.523e-002	-1.0154e-002	-1.1689	71.814
18264	4.523e-002	-1.1077e-002	-1.1689	71.814
18265	4.5649e-002	-9.2308e-004	-1.1698	68.495
18266	4.5649e-002	-1.8462e-003	-1.1698	68.495
18267	4.5649e-002	-2.7692e-003	-1.1698	68.495
18268	4.5649e-002	-3.6923e-003	-1.1698	68.495
18269	4.5649e-002	-4.6154e-003	-1.1698	68.495
18270	4.5649e-002	-5.5385e-003	-1.1698	68.495
18271	4.5649e-002	-6.4615e-003	-1.1698	68.495
18272	4.5649e-002	-7.3846e-003	-1.1698	68.495
18273	4.5649e-002	-8.3077e-003	-1.1698	68.495
18274	4.5649e-002	-9.2308e-003	-1.1698	68.495
18275	4.5649e-002	-1.0154e-002	-1.1698	68.495
18276	4.5649e-002	-1.1077e-002	-1.1698	68.495
18277	4.4137e-002	-9.2308e-004	-1.1693	78.247
18278	4.4137e-002	-1.8462e-003	-1.1693	78.247
18279	4.4137e-002	-2.7692e-003	-1.1693	78.247
18280	4.4137e-002	-3.6923e-003	-1.1693	78.247
18281	4.4137e-002	-4.6154e-003	-1.1693	78.247
18282	4.4137e-002	-5.5385e-003	-1.1693	78.247
18283	4.4137e-002	-6.4615e-003	-1.1693	78.247
18284	4.4137e-002	-7.3846e-003	-1.1693	78.247
18285	4.4137e-002	-8.3077e-003	-1.1693	78.247
18286	4.4137e-002	-9.2308e-003	-1.1693	78.247
18287	4.4137e-002	-1.0154e-002	-1.1693	78.247
18288	4.4137e-002	-1.1077e-002	-1.1693	78.247
18289	2.9014e-002	-9.2308e-004	-1.1692	73.043
18290	2.9014e-002	-1.8462e-003	-1.1692	73.043
